strategy,pre_open_layer_count,candidate_count,positive_count,positive_adverse_q25,positive_minutes_q25,positive_minutes_median,baseline_precision,baseline_recall,baseline_f1,adverse_threshold,min_minutes,matched,true_positive,false_positive,total_positive,precision,recall,f1,base_rate,precision_lift_vs_base
T1/S01,1,22054,142,1.4600000000000364,12.0,30.5,0.03314745972738538,0.7535211267605634,0.06350148367952523,1.4600000000000364,0.0,3228,107,3121,142,0.03314745972738538,0.7535211267605634,0.06350148367952523,0.006438741271424685,5.148127301603923
T1/S01,2,11608,78,1.6849999999998886,13.0,43.5,0.32044198895027626,0.7435897435897436,0.44787644787644787,1.6849999999998886,0.0,181,58,123,78,0.32044198895027626,0.7435897435897436,0.44787644787644787,0.006719503790489318,47.68834112480521
T1/S01,3,5720,37,1.5199999999999818,9.0,36.0,0.058577405857740586,0.7567567567567568,0.1087378640776699,1.5199999999999818,0.0,478,28,450,37,0.058577405857740586,0.7567567567567568,0.1087378640776699,0.006468531468531468,9.055750310980436
T1/S01,4,5456,27,1.3450000000000273,8.5,20.0,0.0847457627118644,0.7407407407407407,0.15209125475285168,1.6700000000000728,5.0,146,14,132,27,0.0958904109589041,0.5185185185185185,0.16184971098265893,0.004948680351906158,19.376966007102993
T1/S01,5,1559,14,1.545000000000016,14.25,25.5,0.2857142857142857,0.7142857142857143,0.40816326530612246,1.8350000000000364,0.0,12,7,5,14,0.5833333333333334,0.5,0.5384615384615384,0.008980115458627326,64.95833333333333
T1/S01,6,2950,16,1.4125000000000796,8.5,50.0,0.02214022140221402,0.75,0.04301075268817203,1.4125000000000796,0.0,542,12,530,16,0.02214022140221402,0.75,0.04301075268817203,0.005423728813559322,4.08210332103321
T1/S01,8,1132,11,1.240000000000009,11.0,32.0,0.17391304347826086,0.7272727272727273,0.2807017543859649,1.7699999999999818,0.0,10,6,4,11,0.6,0.5454545454545454,0.5714285714285713,0.009717314487632508,61.74545454545454
T2/S03,1,16478,74,1.6199999999998909,8.0,22.0,0.014725216933999474,0.7567567567567568,0.028888315708021667,1.6199999999998909,0.0,3803,56,3747,74,0.014725216933999474,0.7567567567567568,0.028888315708021667,0.004490836266537201,3.278947630249234
T2/S03,2,6289,37,1.7000000000000455,10.0,23.0,0.12844036697247707,0.7567567567567568,0.2196078431372549,1.7000000000000455,0.0,218,28,190,37,0.12844036697247707,0.7567567567567568,0.2196078431372549,0.005883288281125775,21.831391024051577
T2/S03,3,4552,25,1.4700000000000273,5.0,27.0,0.25,0.76,0.37623762376237624,1.6399999999998727,5.0,30,12,18,25,0.4,0.48,0.4363636363636364,0.005492091388400703,72.832
T2/S03,4,2106,19,1.2150000000000318,8.0,31.0,0.09271523178807947,0.7368421052631579,0.16470588235294117,1.5699999999999363,5.2,36,10,26,19,0.2777777777777778,0.5263157894736842,0.36363636363636365,0.009021842355175688,30.78947368421053
T2/S03,5,1687,9,1.5700000000001637,36.0,41.0,0.05185185185185185,0.7777777777777778,0.09722222222222222,1.4800000000000182,0.0,145,8,137,9,0.05517241379310345,0.8888888888888888,0.10389610389610389,0.005334914048606995,10.341762452107279
T2/S03,6,1776,8,1.697499999999991,44.5,204.5,0.5454545454545454,0.75,0.631578947368421,1.697499999999991,0.0,11,6,5,8,0.5454545454545454,0.75,0.631578947368421,0.0045045045045045045,121.09090909090908
T2/S03,8,1457,11,1.6299999999999955,14.0,18.0,0.14814814814814814,0.7272727272727273,0.24615384615384614,1.5,0.0,67,10,57,11,0.14925373134328357,0.9090909090909091,0.2564102564102564,0.0075497597803706245,19.76933514246947
T2/S04,1,6540,82,1.5525000000001228,7.25,17.5,0.31443298969072164,0.7439024390243902,0.44202898550724634,1.7450000000000045,0.0,95,41,54,82,0.43157894736842106,0.5,0.4632768361581921,0.01253822629969419,34.42105263157895
T2/S04,2,5896,43,1.6450000000000955,9.0,33.0,0.3106796116504854,0.7441860465116279,0.4383561643835616,1.6450000000000955,0.0,103,32,71,43,0.3106796116504854,0.7441860465116279,0.4383561643835616,0.007293080054274084,42.59923233235493
T2/S04,3,5007,29,1.6599999999998545,6.0,16.0,0.39285714285714285,0.7586206896551724,0.5176470588235293,1.9099999999998545,3.8000000000000003,19,14,5,29,0.7368421052631579,0.4827586206896552,0.5833333333333334,0.0057918913521070505,127.2196007259528
