strategy,pre_open_layer_count,candidate_count,positive_count,adverse_q10,adverse_q25,adverse_median,adverse_q75,minutes_q25,minutes_median,minutes_q75,threshold,matched,true_positive,false_positive,total_positive,precision,recall,base_rate,precision_lift_vs_base
T1/S01,1,22054,142,-0.4120000000000569,1.4600000000000364,1.7350000000000136,2.047499999999957,12.0,30.5,174.25,1.4600000000000364,3228,107,3121,142,0.03314745972738538,0.7535211267605634,0.006438741271424685,5.148127301603923
T1/S01,2,11608,78,1.400000000000091,1.6849999999998886,1.830000000000041,2.1475000000000932,13.0,43.5,113.75,1.6849999999998886,181,58,123,78,0.32044198895027626,0.7435897435897436,0.006719503790489318,47.68834112480521
T1/S01,3,5720,37,1.3439999999999146,1.5199999999999818,1.7300000000000182,2.25,9.0,36.0,63.0,1.5199999999999818,478,28,450,37,0.058577405857740586,0.7567567567567568,0.006468531468531468,9.055750310980436
T1/S01,4,5456,27,1.073999999999978,1.3450000000000273,1.6700000000000728,1.91499999999985,8.5,20.0,58.5,1.3450000000000273,236,20,216,27,0.0847457627118644,0.7407407407407407,0.004948680351906158,17.124921531701194
T1/S01,5,1559,14,1.4229999999998426,1.545000000000016,1.8350000000000364,2.0399999999999636,14.25,25.5,40.75,1.545000000000016,35,10,25,14,0.2857142857142857,0.7142857142857143,0.008980115458627326,31.81632653061224
T1/S01,6,2950,16,0.20500000000004093,1.4125000000000796,1.9050000000000864,2.0774999999999864,8.5,50.0,151.25,1.4125000000000796,542,12,530,16,0.02214022140221402,0.75,0.005423728813559322,4.08210332103321
T1/S01,8,1132,11,-0.2799999999999727,1.240000000000009,1.7699999999999818,2.2100000000000364,11.0,32.0,60.0,1.240000000000009,46,8,38,11,0.17391304347826086,0.7272727272727273,0.009717314487632508,17.897233201581027
T2/S03,1,16478,74,0.9699999999999367,1.6199999999998909,1.7899999999999636,2.0399999999999636,8.0,22.0,54.0,1.6199999999998909,3803,56,3747,74,0.014725216933999474,0.7567567567567568,0.004490836266537201,3.278947630249234
T2/S03,2,6289,37,1.240000000000009,1.7000000000000455,1.9500000000000455,2.1700000000000728,10.0,23.0,102.0,1.7000000000000455,218,28,190,37,0.12844036697247707,0.7567567567567568,0.005883288281125775,21.831391024051577
T2/S03,3,4552,25,0.6299999999999728,1.4700000000000273,1.6399999999998727,1.9700000000000273,5.0,27.0,63.0,1.4700000000000273,76,19,57,25,0.25,0.76,0.005492091388400703,45.519999999999996
T2/S03,4,2106,19,0.53199999999988,1.2150000000000318,1.5699999999999363,1.7749999999999773,8.0,31.0,95.5,1.2150000000000318,151,14,137,19,0.09271523178807947,0.7368421052631579,0.009021842355175688,10.276751481352388
T2/S03,5,1687,9,1.4800000000000182,1.5700000000001637,1.790000000000191,1.8599999999999,36.0,41.0,234.0,1.5700000000001637,135,7,128,9,0.05185185185185185,0.7777777777777778,0.005334914048606995,9.719341563786008
T2/S03,6,1776,8,1.4739999999999553,1.697499999999991,1.884999999999991,2.1599999999999113,44.5,204.5,1149.0,1.697499999999991,11,6,5,8,0.5454545454545454,0.75,0.0045045045045045045,121.09090909090908
T2/S03,8,1457,11,1.5,1.6299999999999955,1.7300000000000182,1.8949999999999818,14.0,18.0,139.5,1.6299999999999955,54,8,46,11,0.14814814814814814,0.7272727272727273,0.0075497597803706245,19.622895622895623
T2/S04,1,6540,82,1.2840000000001737,1.5525000000001228,1.7450000000000045,1.9750000000000227,7.25,17.5,46.5,1.5525000000001228,194,61,133,82,0.31443298969072164,0.7439024390243902,0.01253822629969419,25.077948202162435
T2/S04,2,5896,43,1.4360000000000581,1.6450000000000955,1.759999999999991,2.160000000000082,9.0,33.0,61.0,1.6450000000000955,103,32,71,43,0.3106796116504854,0.7441860465116279,0.007293080054274084,42.59923233235493
T2/S04,3,5007,29,1.3880000000001018,1.6599999999998545,1.9099999999998545,2.1200000000001182,6.0,16.0,82.0,1.6599999999998545,56,22,34,29,0.39285714285714285,0.7586206896551724,0.0057918913521070505,67.82881773399014
T2/S04,4,3470,18,0.8259999999999765,1.4325000000001182,1.7699999999999818,2.042500000000132,8.25,18.0,131.25,1.4325000000001182,64,13,51,18,0.203125,0.7222222222222222,0.005187319884726225,39.157986111111114
T2/S04,5,2613,10,1.3170000000001436,1.5674999999999955,1.7699999999999818,1.964999999999975,12.5,30.0,205.75,1.5674999999999955,26,7,19,10,0.2692307692307692,0.7,0.003827018752391887,70.35
T2/S04,6,1256,16,1.57000000000005,1.6625000000000227,1.955000000000041,2.212500000000034,8.75,27.0,50.0,1.6625000000000227,36,12,24,16,0.3333333333333333,0.75,0.012738853503184714,26.166666666666664
T3/S06,1,6509,20,2.8790000000000875,3.0049999999999386,3.174999999999841,3.6925000000000523,75.0,111.0,221.75,3.0049999999999386,32,15,17,20,0.46875,0.75,0.0030726686126901215,152.5546875
T3/S06,2,3256,11,2.910000000000082,3.0200000000000955,3.1099999999999,3.55499999999995,75.5,144.0,177.0,3.0200000000000955,17,8,9,11,0.47058823529411764,0.7272727272727273,0.0033783783783783786,139.2941176470588
T4/S08,1,1656,23,1.2300000000000182,1.6399999999999864,1.849999999999909,2.6800000000000637,6.0,13.0,24.0,1.6399999999999864,44,17,27,23,0.38636363636363635,0.7391304347826086,0.013888888888888888,27.81818181818182
T4/S08,2,838,16,1.4800000000000182,1.6874999999998863,1.8950000000000955,2.5149999999999864,8.0,16.0,54.75,1.6874999999998863,29,12,17,16,0.41379310344827586,0.75,0.01909307875894988,21.67241379310345
T4/S08,3,1004,11,1.8199999999999363,2.0049999999999955,2.119999999999891,3.2099999999999227,8.0,13.0,64.0,2.0049999999999955,49,8,41,11,0.16326530612244897,0.7272727272727273,0.010956175298804782,14.901669758812615
T4/S08,4,350,12,1.2110000000000583,1.7975000000000705,2.509999999999877,2.857499999999959,2.75,5.5,36.25,1.7975000000000705,22,9,13,12,0.4090909090909091,0.75,0.03428571428571429,11.931818181818182
T5/S09,1,6620,14,4.83599999999999,5.027500000000032,5.574999999999932,6.914999999999964,23.75,104.0,220.5,5.027500000000032,31,10,21,14,0.3225806451612903,0.7142857142857143,0.0021148036253776435,152.53456221198155
T5/S09,2,6499,11,4.990000000000009,5.394999999999982,5.649999999999864,6.529999999999973,39.5,118.0,180.0,5.394999999999982,14,8,6,11,0.5714285714285714,0.7272727272727273,0.0016925680873980612,337.6103896103896
T5/S09,3,4569,9,5.263999999999942,5.490000000000009,5.779999999999973,6.369999999999891,33.0,115.0,434.0,5.490000000000009,11,7,4,9,0.6363636363636364,0.7777777777777778,0.001969796454366382,323.06060606060606
T5/S10,1,12326,19,2.973999999999978,3.1849999999999454,3.380000000000109,3.699999999999932,174.0,310.0,499.5,3.1849999999999454,33,14,19,19,0.42424242424242425,0.7368421052631579,0.001541457082589648,275.2216905901116
T5/S10,2,5713,13,2.730000000000018,2.8300000000001546,3.4300000000000637,3.7000000000000455,61.0,130.0,329.0,2.8300000000001546,35,10,25,13,0.2857142857142857,0.7692307692307693,0.0022755119901977944,125.56043956043956
T6/S12,1,5814,49,1.7260000000000217,1.9500000000000455,2.130000000000109,2.4300000000000637,7.0,44.0,74.0,1.9500000000000455,105,37,68,49,0.3523809523809524,0.7551020408163265,0.008427932576539388,41.81107871720117
T6/S12,2,4131,33,1.8939999999999144,2.019999999999982,2.1799999999998363,2.4300000000000637,11.0,55.0,103.0,2.019999999999982,58,25,33,33,0.43103448275862066,0.7575757575757576,0.007988380537400145,53.957680250783696
T6/S12,3,5484,26,1.7999999999999545,1.9524999999998727,2.2350000000000136,2.537499999999966,22.25,40.0,111.5,1.9524999999998727,48,19,29,26,0.3958333333333333,0.7307692307692307,0.004741064916119621,83.49038461538461
T6/S12,4,3299,16,1.5950000000000273,1.8875000000000455,2.3350000000000364,2.8075000000000045,16.0,31.5,117.75,1.8875000000000455,34,12,22,16,0.35294117647058826,0.75,0.004849954531676266,72.77205882352942
T6/S12,5,3380,13,1.41599999999994,1.9800000000000182,2.230000000000018,2.4600000000000364,8.0,23.0,44.0,1.9800000000000182,24,10,14,13,0.4166666666666667,0.7692307692307693,0.0038461538461538464,108.33333333333333
T6/S12,6,1297,10,1.613000000000102,1.849999999999909,1.9750000000000227,2.2124999999999773,27.0,41.5,67.75,1.849999999999909,30,7,23,10,0.23333333333333334,0.7,0.007710100231303007,30.263333333333332
