strategy,rule_size,rule,matched,true_positive,false_positive,precision,recall,total_positive,base_rate,precision_lift_vs_base,score
T1/S01,1,fisher_9 >= 2.6333,9376,189,9187,0.020157849829351537,0.5013262599469496,377,0.002634576545979301,7.6512674722300185,0.010105659463521061
T1/S01,2,fisher_9 >= 2.6333 AND ema_21_slope_4 >= 1.3379,4846,133,4713,0.027445315724308708,0.35278514588859416,377,0.002634576545979301,10.417353698146957,0.009682299711758775
T1/S01,1,fisher_14 >= 2.8132,10175,189,9986,0.018574938574938575,0.5013262599469496,377,0.002634576545979301,7.0504455842386875,0.009312104484518278
T1/S01,3,fisher_14 >= 2.8132 AND fisher_9 >= 2.6333 AND ema_21_slope_4 >= 1.3379,4362,121,4241,0.027739569005043558,0.3209549071618037,377,0.002634576545979301,10.529042721259199,0.008903150794722202
T1/S01,2,fisher_9 >= 2.6333 AND wma_21_slope_4 >= 1.4271,5373,134,5239,0.024939512376698305,0.35543766578249336,377,0.002634576545979301,9.46623183705145,0.00886444206492725
T1/S01,3,fisher_9 >= 2.6333 AND wma_21_slope_4 >= 1.4271 AND ema_21_slope_4 >= 1.3379,4771,124,4647,0.025990358415426535,0.32891246684350134,377,0.002634576545979301,9.865098987194406,0.008548552900564697
T1/S01,2,fisher_14 >= 2.8132 AND fisher_9 >= 2.6333,7865,159,7706,0.02021614748887476,0.4217506631299735,377,0.002634576545979301,7.673395377229474,0.00852617360936628
T1/S01,2,fisher_14 >= 2.8132 AND ema_21_slope_4 >= 1.3379,5286,130,5156,0.024593265228906546,0.3448275862068966,377,0.002634576545979301,9.334807624564561,0.008480436285829843
T1/S01,3,fisher_14 >= 2.8132 AND fisher_9 >= 2.6333 AND wma_21_slope_4 >= 1.4271,4812,124,4688,0.025768911055694097,0.32891246684350134,377,0.002634576545979301,9.781044735641004,0.00847571610319912
T1/S01,2,fisher_14 >= 2.8132 AND wma_21_slope_4 >= 1.4271,5882,135,5747,0.022951377082624957,0.35809018567639256,377,0.002634576545979301,8.711600016955924,0.008218662881046073
T1/S01,2,adx_7_dmn_7 <= 8.3180 AND ema_21_slope_4 >= 1.3379,5469,129,5340,0.023587493143170598,0.3421750663129973,377,0.002634576545979301,8.953049088350884,0.00807105203042177
T1/S01,3,fisher_9 >= 2.6333 AND wma_8_minus_wma_21 >= 1.6044 AND ema_21_slope_4 >= 1.3379,4743,120,4623,0.02530044275774826,0.3183023872679045,377,0.002634576545979301,9.603229329722819,0.008053191328726237
T1/S01,3,fisher_9 >= 2.6333 AND ema_8_slope_4 >= 1.5638 AND ema_21_slope_4 >= 1.3379,4594,118,4476,0.025685676969960818,0.3129973474801061,377,0.002634576545979301,9.749451770213483,0.008039548759828584
T1/S01,3,fisher_9 >= 2.6333 AND adx_7_dmn_7 <= 8.3180 AND ema_21_slope_4 >= 1.3379,3504,103,3401,0.02939497716894977,0.27320954907161804,377,0.002634576545979301,11.157382090040333,0.008030988457299274
T1/S01,3,fisher_9 >= 2.6333 AND close_minus_sma_21 >= 3.5967 AND ema_21_slope_4 >= 1.3379,4568,117,4451,0.025612959719789843,0.3103448275862069,377,0.002634576545979301,9.721850655232805,0.007948849568210641
T1/S01,2,fisher_9 >= 2.6333 AND wma_8_minus_wma_21 >= 1.6044,5913,133,5780,0.022492812447150345,0.35278514588859416,377,0.002634576545979301,8.537543720821944,0.007935130120612722
T1/S01,3,fisher_9 >= 2.6333 AND wma_21_slope_4 >= 1.4271 AND wma_8_minus_wma_21 >= 1.6044,5228,125,5103,0.023909716908951797,0.33156498673740054,377,0.002634576545979301,9.075354802441048,0.007927624969811604
T1/S01,1,adx_7_dmn_7 <= 8.3180,12091,189,11902,0.015631461417583325,0.5013262599469496,377,0.002634576545979301,5.933196908413583,0.00783646208998209
T1/S01,3,fisher_14 >= 2.8132 AND wma_21_slope_4 >= 1.4271 AND ema_21_slope_4 >= 1.3379,5211,124,5087,0.023795816541930533,0.32891246684350134,377,0.002634576545979301,9.032121909020248,0.007826740719361767
T1/S01,2,fisher_9 >= 2.6333 AND close_minus_sma_21 >= 3.5967,5505,127,5378,0.02306993642143506,0.33687002652519893,377,0.002634576545979301,8.75660130529998,0.007771570094223482
T2/S03,3,wma_21_minus_wma_50 >= 4.9460 AND mom_34 >= 15.8350 AND sma_21_minus_sma_50 >= 6.5777,2972,141,2831,0.04744279946164199,0.44339622641509435,318,0.0022222688106668903,21.34881218415907,0.021035958251860127
T2/S03,3,close_minus_sma_50 >= 10.1798 AND mom_34 >= 15.8350 AND sma_21_minus_sma_50 >= 6.5777,3013,140,2873,0.04646531695984069,0.44025157232704404,318,0.0022222688106668903,20.90895427988152,0.020456428850244332
T2/S03,3,ao >= 7.0979 AND mom_34 >= 15.8350 AND sma_21_minus_sma_50 >= 6.5777,2531,127,2404,0.050177795337811144,0.39937106918238996,318,0.0022222688106668903,22.5795345265873,0.020039559773276778
T2/S03,3,wma_21_minus_wma_50 >= 4.9460 AND close_minus_sma_50 >= 10.1798 AND sma_21_minus_sma_50 >= 6.5777,2946,137,2809,0.04650373387644263,0.4308176100628931,318,0.0022222688106668903,20.926241529928653,0.020034627487649816
T2/S03,3,wma_50_slope_4 >= 1.6236 AND mom_34 >= 15.8350 AND sma_21_minus_sma_50 >= 6.5777,3184,141,3043,0.04428391959798995,0.44339622641509435,318,0.0022222688106668903,19.92734604626908,0.019635322840618186
T2/S03,3,wma_21_minus_wma_50 >= 4.9460 AND close_minus_sma_50 >= 10.1798 AND mom_34 >= 15.8350,3502,147,3355,0.04197601370645346,0.46226415094339623,318,0.0022222688106668903,18.88881016777475,0.01940400633600207
T2/S03,2,wma_21_minus_wma_50 >= 4.9460 AND mom_34 >= 15.8350,3747,152,3595,0.040565785962103015,0.4779874213836478,318,0.0022222688106668903,18.254220986852374,0.0193899354284266
T2/S03,3,wma_21_minus_wma_50 >= 4.9460 AND roc_34 >= 0.9005 AND sma_21_minus_sma_50 >= 6.5777,2925,134,2791,0.04581196581196581,0.42138364779874216,318,0.0022222688106668903,20.614952427027898,0.01930441326667742
T2/S03,3,mom_34 >= 15.8350 AND sma_21_minus_sma_50 >= 6.5777 AND sma_21_slope_4 >= 2.1479,2327,119,2208,0.05113880532874946,0.3742138364779874,318,0.0022222688106668903,23.01197995637755,0.01913684853497228
T2/S03,3,wma_50_slope_4 >= 1.6236 AND close_minus_sma_50 >= 10.1798 AND sma_21_minus_sma_50 >= 6.5777,3210,139,3071,0.04330218068535826,0.4371069182389937,318,0.0022222688106668903,19.485572797272674,0.018927682752405025
