k,silhouette,silhouette_metric,cluster_count,min_cluster_size,max_cluster_size
2,0.217680989323263,manhattan,2,473,1184
3,0.2563860523821642,manhattan,3,277,1083
4,0.2260483529250694,manhattan,4,156,977
5,0.15234043231000585,manhattan,5,148,717
6,0.15804675154323852,manhattan,6,46,696
7,0.13439549149453905,manhattan,7,45,599
8,0.1575054273883824,manhattan,8,41,671
9,0.13604689950565133,manhattan,9,45,601
10,0.11571814967391586,manhattan,10,51,472
11,0.1486109416548161,manhattan,11,41,608
12,0.11019039597661835,manhattan,12,49,456
