strategy,open_layer_count_at_exit,basket_count,cross_found_count,cross_found_pct,within_0m_pct,within_1m_pct,within_5m_pct,lag_median,lag_q75,lag_q90,variant
T1/S01,1,211,191,90.52132701421802,11.518324607329843,78.53403141361257,81.67539267015707,1.0,1.0,91.0,close_q25
T1/S01,2,101,100,99.00990099009901,6.0,80.0,86.0,1.0,1.0,49.70000000000057,close_q25
T1/S01,3,40,38,95.0,5.263157894736842,76.31578947368422,76.31578947368422,1.0,1.0,242.80000000000015,close_q25
T1/S01,4,31,31,100.0,6.451612903225806,61.29032258064516,77.41935483870968,1.0,3.0,270.0,close_q25
T1/S01,5,9,8,88.88888888888889,25.0,50.0,50.0,12.0,115.0,1110.3999999999996,close_q25
T1/S01,6,19,18,94.73684210526315,16.666666666666664,61.111111111111114,72.22222222222221,1.0,8.75,133.30000000000024,close_q25
T1/S01,7,9,7,77.77777777777779,14.285714285714285,71.42857142857143,71.42857142857143,1.0,8.0,96.20000000000007,close_q25
T1/S01,8,12,9,75.0,44.44444444444444,100.0,100.0,1.0,1.0,1.0,close_q25
T1/S01,9,5,0,0.0,0.0,0.0,0.0,,,,close_q25
T1/S01,10,4,1,25.0,0.0,0.0,0.0,552.0,552.0,552.0,close_q25
T1/S01,11,2,0,0.0,0.0,0.0,0.0,,,,close_q25
T1/S01,12,1,0,0.0,0.0,0.0,0.0,,,,close_q25
T1/S01,15,4,0,0.0,0.0,0.0,0.0,,,,close_q25
T1/S01,16,4,1,25.0,0.0,0.0,0.0,266.0,266.0,266.0,close_q25
T1/S01,18,1,0,0.0,0.0,0.0,0.0,,,,close_q25
T1/S01,20,1,0,0.0,0.0,0.0,0.0,,,,close_q25
T1/S01,24,1,0,0.0,0.0,0.0,0.0,,,,close_q25
T1/S01,27,2,0,0.0,0.0,0.0,0.0,,,,close_q25
T1/S01,31,1,0,0.0,0.0,0.0,0.0,,,,close_q25
T1/S01,72,1,0,0.0,0.0,0.0,0.0,,,,close_q25
T2/S03,1,153,146,95.42483660130719,1.36986301369863,69.86301369863014,80.82191780821918,1.0,3.0,24.5,close_q25
T2/S03,2,55,54,98.18181818181819,3.7037037037037033,68.51851851851852,75.92592592592592,1.0,4.75,43.00000000000003,close_q25
T2/S03,3,34,33,97.05882352941177,6.0606060606060606,93.93939393939394,96.96969696969697,1.0,1.0,1.0,close_q25
T2/S03,4,13,13,100.0,23.076923076923077,61.53846153846154,69.23076923076923,1.0,6.0,32.00000000000001,close_q25
T2/S03,5,15,15,100.0,0.0,40.0,80.0,2.0,3.0,9.399999999999999,close_q25
T2/S03,6,11,9,81.81818181818183,22.22222222222222,100.0,100.0,1.0,1.0,1.0,close_q25
T2/S03,7,3,0,0.0,0.0,0.0,0.0,,,,close_q25
T2/S03,8,10,10,100.0,0.0,40.0,80.0,2.5,5.0,36.199999999999925,close_q25
T2/S03,9,2,0,0.0,0.0,0.0,0.0,,,,close_q25
T2/S03,10,4,1,25.0,0.0,0.0,0.0,53.0,53.0,53.0,close_q25
T2/S03,11,3,0,0.0,0.0,0.0,0.0,,,,close_q25
T2/S03,12,4,0,0.0,0.0,0.0,0.0,,,,close_q25
T2/S03,14,1,0,0.0,0.0,0.0,0.0,,,,close_q25
T2/S03,15,1,0,0.0,0.0,0.0,0.0,,,,close_q25
T2/S03,16,5,2,40.0,0.0,0.0,0.0,169.0,230.0,266.6,close_q25
T2/S03,17,1,0,0.0,0.0,0.0,0.0,,,,close_q25
T2/S03,18,1,0,0.0,0.0,0.0,0.0,,,,close_q25
T2/S03,28,1,0,0.0,0.0,0.0,0.0,,,,close_q25
T2/S03,40,1,1,100.0,0.0,0.0,0.0,827.0,827.0,827.0,close_q25
T2/S04,1,182,179,98.35164835164835,1.1173184357541899,70.94972067039106,91.62011173184358,1.0,2.0,4.0,close_q25
T2/S04,2,48,48,100.0,0.0,72.91666666666666,89.58333333333334,1.0,2.0,10.000000000000085,close_q25
T2/S04,3,41,41,100.0,0.0,78.04878048780488,90.2439024390244,1.0,1.0,4.0,close_q25
T2/S04,4,33,32,96.96969696969697,31.25,96.875,96.875,1.0,1.0,1.0,close_q25
T2/S04,5,19,19,100.0,0.0,52.63157894736842,78.94736842105263,1.0,5.0,10.2,close_q25
T2/S04,6,24,23,95.83333333333334,13.043478260869565,95.65217391304348,95.65217391304348,1.0,1.0,1.0,close_q25
T2/S04,7,5,0,0.0,0.0,0.0,0.0,,,,close_q25
T2/S04,8,5,0,0.0,0.0,0.0,0.0,,,,close_q25
T2/S04,9,3,0,0.0,0.0,0.0,0.0,,,,close_q25
T2/S04,10,2,1,50.0,0.0,0.0,0.0,173.0,173.0,173.0,close_q25
T2/S04,12,5,0,0.0,0.0,0.0,0.0,,,,close_q25
T2/S04,15,1,0,0.0,0.0,0.0,0.0,,,,close_q25
T2/S04,16,2,0,0.0,0.0,0.0,0.0,,,,close_q25
T2/S04,18,1,0,0.0,0.0,0.0,0.0,,,,close_q25
T2/S04,20,2,1,50.0,0.0,0.0,0.0,334.0,334.0,334.0,close_q25
T2/S04,21,1,0,0.0,0.0,0.0,0.0,,,,close_q25
T2/S04,24,2,0,0.0,0.0,0.0,0.0,,,,close_q25
T2/S04,30,1,0,0.0,0.0,0.0,0.0,,,,close_q25
T2/S04,39,1,0,0.0,0.0,0.0,0.0,,,,close_q25
T3/S06,1,62,58,93.54838709677419,12.068965517241379,72.41379310344827,84.48275862068965,1.0,2.0,11.900000000000013,close_q25
T3/S06,2,14,11,78.57142857142857,18.181818181818183,100.0,100.0,1.0,1.0,1.0,close_q25
T3/S06,3,6,1,16.666666666666664,0.0,0.0,0.0,1272.0,1272.0,1272.0,close_q25
T3/S06,4,5,0,0.0,0.0,0.0,0.0,,,,close_q25
T3/S06,5,3,0,0.0,0.0,0.0,0.0,,,,close_q25
T3/S06,6,4,0,0.0,0.0,0.0,0.0,,,,close_q25
T3/S06,7,1,0,0.0,0.0,0.0,0.0,,,,close_q25
T3/S06,12,2,0,0.0,0.0,0.0,0.0,,,,close_q25
T3/S06,16,1,0,0.0,0.0,0.0,0.0,,,,close_q25
T3/S06,188,1,0,0.0,0.0,0.0,0.0,,,,close_q25
T4/S08,1,21,21,100.0,0.0,61.904761904761905,80.95238095238095,1.0,2.0,8.0,close_q25
T4/S08,2,7,0,0.0,0.0,0.0,0.0,,,,close_q25
T4/S08,3,8,8,100.0,0.0,75.0,100.0,1.0,1.25,2.5999999999999996,close_q25
T4/S08,4,7,0,0.0,0.0,0.0,0.0,,,,close_q25
T4/S08,5,4,1,25.0,0.0,0.0,0.0,127.0,127.0,127.0,close_q25
T4/S08,6,3,1,33.33333333333333,0.0,0.0,0.0,86.0,86.0,86.0,close_q25
T4/S08,8,4,0,0.0,0.0,0.0,0.0,,,,close_q25
T4/S08,14,1,0,0.0,0.0,0.0,0.0,,,,close_q25
T4/S08,15,1,0,0.0,0.0,0.0,0.0,,,,close_q25
T4/S08,20,1,0,0.0,0.0,0.0,0.0,,,,close_q25
