strategy,open_layer_count,candidate_count,positive_count,move_q10,move_q25,move_median,move_q75,q25_precision,q25_recall,q25_f1,threshold,matched,true_positive,false_positive,total_positive,precision,recall,f1,base_rate,precision_lift_vs_base
T1/S01,1,22219,211,0.32999999999992724,0.5599999999999454,0.7599999999999909,1.3049999999998363,0.049332919640086875,0.7535545023696683,0.09260337798485731,0.5599999999999454,3223,159,3064,211,0.049332919640086875,0.7535545023696683,0.09260337798485731,0.009496376974661326,5.194920101815593
T1/S01,2,11723,101,0.3400000000001455,0.5049999999998818,0.7499999999997726,1.1849999999999454,0.06443514644351464,0.7623762376237624,0.11882716049382715,0.3400000000001455,1418,91,1327,101,0.06417489421720733,0.900990099009901,0.11981566820276497,0.008615542096732919,7.448735494141797
T1/S01,3,5768,40,0.2773333333334904,0.5066666666667743,0.7283333333332394,1.3224999999998204,0.06711409395973154,0.75,0.12320328542094455,0.5066666666667743,447,30,417,40,0.06711409395973154,0.75,0.12320328542094455,0.006934812760055479,9.677852348993287
T1/S01,4,5497,31,0.20499999999992724,0.4829925650557243,0.8600000000003547,1.540000000000191,0.028500619578686492,0.7419354838709677,0.0548926014319809,0.20499999999992724,953,28,925,31,0.02938090241343127,0.9032258064516129,0.056910569105691054,0.005639439694378752,5.2098974376332805
T1/S01,5,1568,9,0.6699999999999363,0.7999999999997272,4.149999999999636,6.149999999999864,0.01818181818181818,0.7777777777777778,0.035532994923857864,4.149999999999636,66,5,61,9,0.07575757575757576,0.5555555555555556,0.13333333333333333,0.005739795918367347,13.198653198653199
T1/S01,6,2972,19,0.32199999999998,0.5199999999999818,0.5900000000001455,1.0525000000001228,0.1076923076923077,0.7368421052631579,0.18791946308724836,0.5199999999999818,130,14,116,19,0.1076923076923077,0.7368421052631579,0.18791946308724836,0.00639300134589502,16.845344129554658
T1/S01,7,720,9,0.5099999999999454,0.6300000000001091,1.2600000000002183,1.9485714285715403,0.05185185185185185,0.7777777777777778,0.09722222222222222,1.9485714285715403,23,3,20,9,0.13043478260869565,0.3333333333333333,0.18750000000000003,0.0125,10.43478260869565
T1/S01,8,1146,12,0.4239999999998645,0.8049999999997226,1.2849999999998545,1.8799999999998818,0.5625,0.75,0.6428571428571429,0.8049999999997226,16,9,7,12,0.5625,0.75,0.6428571428571429,0.010471204188481676,53.71875
T2/S03,1,16610,153,0.14200000000005275,0.4900000000000091,0.6800000000000637,1.1200000000001182,0.030152071316203462,0.7516339869281046,0.05797832114948324,0.4900000000000091,3814,115,3699,153,0.030152071316203462,0.7516339869281046,0.05797832114948324,0.009211318482841662,3.2733719252427416
T2/S03,2,6353,55,0.36900000000005095,0.5099999999999909,0.724999999999909,1.1350000000001046,0.08742004264392324,0.7454545454545455,0.1564885496183206,0.5099999999999909,469,41,428,55,0.08742004264392324,0.7454545454545455,0.1564885496183206,0.008657327246969935,10.097809653033533
T2/S03,3,4587,34,0.42000000000007276,0.5266666666668129,0.7183333333332484,0.9416666666665492,0.2336448598130841,0.7352941176470589,0.3546099290780142,0.5266666666668129,107,25,82,34,0.2336448598130841,0.7352941176470589,0.3546099290780142,0.007412252016568564,31.52144035184167
T2/S03,4,2122,13,0.11400000000012372,0.3999999999998636,0.775000000000091,3.4200000000003,0.03184713375796178,0.7692307692307693,0.06116207951070336,0.11400000000012372,345,11,334,13,0.03188405797101449,0.8461538461538461,0.061452513966480445,0.006126295947219604,5.2044593088071345
T2/S03,5,1703,15,0.32199999999997997,0.3999999999998636,0.6699999999998454,0.7949999999999591,0.14473684210526316,0.7333333333333333,0.24175824175824176,0.6699999999998454,39,8,31,15,0.20512820512820512,0.5333333333333333,0.2962962962962963,0.008807985907222548,23.288888888888888
T2/S03,6,1792,11,0.540000000000191,0.5599999999999454,0.6700000000000728,0.845833333333303,0.4,0.7272727272727273,0.5161290322580645,0.540000000000191,24,10,14,11,0.4166666666666667,0.9090909090909091,0.5714285714285715,0.006138392857142857,67.87878787878789
T2/S03,8,1467,10,0.06900000000014189,0.34999999999990905,0.7274999999995089,2.2137500000001182,0.12727272727272726,0.7,0.2153846153846154,0.7274999999995089,23,5,18,10,0.21739130434782608,0.5,0.30303030303030304,0.006816632583503749,31.891304347826086
T2/S04,1,6715,182,0.19100000000003095,0.43000000000006366,0.6449999999998681,1.017499999999984,0.19464033850493653,0.7582417582417582,0.30976430976430974,0.43000000000006366,709,138,571,182,0.19464033850493653,0.7582417582417582,0.30976430976430974,0.02710349962769918,7.181372928904664
T2/S04,2,5948,48,0.3475000000000591,0.4875000000000682,0.7624999999999318,1.0725000000000477,0.08144796380090498,0.75,0.1469387755102041,0.3475000000000591,529,43,486,48,0.08128544423440454,0.8958333333333334,0.1490467937608319,0.008069939475453935,10.072621298046627
T2/S04,3,5049,41,0.3200000000001637,0.4700000000000273,0.599999999999909,0.9199999999998454,0.26956521739130435,0.7560975609756098,0.39743589743589747,0.3200000000001637,143,38,105,41,0.26573426573426573,0.926829268292683,0.41304347826086957,0.008120419885125768,32.72420262664165
T2/S04,4,3504,33,0.37999999999979084,0.5900000000003729,0.7974999999999,0.9700000000002547,0.24752475247524752,0.7575757575757576,0.373134328358209,0.5900000000003729,101,25,76,33,0.24752475247524752,0.7575757575757576,0.373134328358209,0.009417808219178082,26.282628262826282
T2/S04,5,2633,19,0.15600000000031286,0.2749999999998636,0.75,0.9290000000000873,0.22950819672131148,0.7368421052631579,0.35,0.75,16,10,6,19,0.625,0.5263157894736842,0.5714285714285714,0.0072161033042157235,86.61184210526315
T2/S04,6,1279,24,0.4060000000000173,0.5475000000000136,0.6374999999998181,0.7674999999999841,0.45,0.75,0.5625000000000001,0.5475000000000136,40,18,22,24,0.45,0.75,0.5625000000000001,0.018764659890539485,23.98125
T3/S06,1,6571,62,0.5130000000000109,0.6825000000000045,0.8349999999999227,1.2974999999999,0.31724137931034485,0.7419354838709677,0.4444444444444445,0.8349999999999227,77,31,46,62,0.4025974025974026,0.5,0.4460431654676259,0.00943539796073657,42.66883116883117
T3/S06,2,3270,14,0.5970000000000937,0.8174999999999386,1.1875,1.5887499999999477,0.5263157894736842,0.7142857142857143,0.6060606060606061,0.8174999999999386,19,10,9,14,0.5263157894736842,0.7142857142857143,0.6060606060606061,0.004281345565749235,122.93233082706766
T4/S08,1,1676,21,1.1299999999998818,1.3700000000001182,1.7799999999999727,2.649999999999636,0.2711864406779661,0.7619047619047619,0.4,1.7799999999999727,26,11,15,21,0.4230769230769231,0.5238095238095238,0.4680851063829788,0.012529832935560859,33.765567765567766
