strategy,feature,auc,auc_lift,direction,positive_median,background_median,positive_count,background_count
T1/S01,fisher_14,0.8970345445795627,0.39703454457956266,high,2.813229670418765,0.06317226168548556,377,142707
T1/S01,fisher_9,0.8970241006241652,0.39702410062416515,high,2.63328738436742,0.04655172296702484,377,142712
T1/S01,wma_21_slope_4,0.8742671999267162,0.3742671999267162,high,1.427056277056181,0.014696969697183704,377,142696
T1/S01,adx_7_dmn_7,0.12720324810553013,0.3727967518944699,low,8.318019307074783,19.82760141857163,377,142714
T1/S01,wma_8_minus_wma_21,0.8695908762237932,0.36959087622379316,high,1.6043867243868135,0.019172077922007702,377,142700
T1/S01,close_minus_sma_21,0.8643330222926917,0.3643330222926917,high,3.596666666666806,0.046666666666624224,377,142700
T1/S01,ema_8_slope_4,0.8642735036126363,0.36427350361263633,high,1.563816380609751,0.01847227284474684,377,142709
T1/S01,ema_21_slope_4,0.8620895059282043,0.3620895059282043,high,1.3379390700740714,0.019859349049852426,377,142696
T1/S01,sma_8_minus_sma_21,0.8570963736502726,0.3570963736502726,high,2.1791071428572195,0.02520833333335304,377,142700
T1/S01,cmo_9,0.856670880942504,0.356670880942504,high,53.34538878842785,0.7604562737646571,377,142711
T1/S01,cmo_14,0.8562578027181404,0.35625780271814045,high,42.16027874564473,0.5893909626725025,377,142706
T1/S01,rsi_8,0.855232592816125,0.35523259281612496,high,69.73867611501825,50.40858517605575,377,142713
T1/S01,wma_8_slope_4,0.8548825118385166,0.3548825118385166,high,1.708333333333485,0.015000000000100044,377,142709
T1/S01,adx_7_dmp_7,0.8528880022663345,0.35288800226633454,high,33.13435653245509,19.382860133955276,377,142714
T1/S01,cci_20,0.8502632714426894,0.35026327144268943,high,126.56923540349013,3.069243482066234,377,142701
T1/S01,sma_8_slope_4,0.8485709906637374,0.3485709906637374,high,1.6899999999998272,0.01625000000012733,377,142709
T1/S01,close_minus_ema_21,0.8478466631597145,0.34784666315971446,high,3.189197983160966,0.049397323634934764,377,142700
T1/S01,close_minus_wma_21,0.8470151530078311,0.34701515300783115,high,2.470865800865795,0.03454545454553681,377,142700
T1/S01,ema_8_minus_ema_21,0.8399133609304452,0.3399133609304452,high,1.9307677533247443,0.031137159176296336,377,142700
T1/S01,adx_14_dmn_14,0.1614513007016528,0.3385486992983472,low,12.044345988249626,20.486723461862418,377,142707
T1/S01,rsi_14,0.8377317836908661,0.3377317836908661,high,64.87601538223967,50.3568689957147,377,142707
T1/S01,bbands_20_bbp_20_2_0,0.8376223647459937,0.3376223647459937,high,0.8712855544453907,0.5091955475312003,377,142701
T1/S01,roc_20,0.8314703362027143,0.33147033620271427,high,0.38789157654652373,0.004973791272648001,377,142700
T1/S01,aroon_14_aroonosc_14,0.8314653123163458,0.3314653123163458,high,78.57142857142857,7.142857142857139,377,142706
