basket_id,strategy,mode_at_exit,actual_exit_time,first_cross_time,lag_minutes,cross_found,variant
1384,T5/S10,21-23|30-120m,2018-01-02 22:55:00,2018-01-02 22:31:00,24.0,True,tp_q25
1385,T5/S10,01-04|120-360m,2018-01-24 01:36:00,2018-01-23 22:51:00,165.0,True,tp_q25
1386,T5/S10,01-04|120-360m,2018-02-15 01:55:00,2018-02-14 22:34:00,201.0,True,tp_q25
1387,T5/S10,01-04|>1440m,2018-03-05 02:46:00,2018-03-05 01:01:00,105.0,True,tp_q25
1388,T5/S10,01-04|120-360m,2018-04-10 03:09:00,2018-04-09 23:03:00,246.0,True,tp_q25
1389,T5/S10,13-16|360-1440m,2018-04-10 14:33:00,2018-04-10 14:32:00,1.0,True,tp_q25
1390,T5/S10,01-04|>1440m,2018-04-30 03:42:00,2018-04-30 03:41:00,1.0,True,tp_q25
1391,T5/S10,17-20|360-1440m,2018-04-30 20:18:00,2018-04-30 20:16:00,2.0,True,tp_q25
1392,T5/S10,01-04|120-360m,2018-05-09 02:26:00,,,False,tp_q25
1393,T5/S10,13-16|360-1440m,2018-05-09 15:21:00,2018-05-09 14:38:00,43.0,True,tp_q25
1394,T5/S10,21-23|30-120m,2018-10-10 22:58:00,2018-10-10 22:51:00,7.0,True,tp_q25
1395,T5/S10,09-12|>1440m,2018-11-01 09:26:00,2018-10-29 22:41:00,3525.0,True,tp_q25
1396,T5/S10,01-04|>1440m,2018-12-10 01:03:00,2018-12-10 01:02:00,1.0,True,tp_q25
1397,T5/S10,09-12|>1440m,2018-12-11 11:11:00,2018-12-11 10:02:00,69.0,True,tp_q25
1398,T5/S10,17-20|360-1440m,2019-01-23 18:23:00,2019-01-23 18:23:00,0.0,True,tp_q25
1399,T5/S10,01-04|>1440m,2019-02-18 03:08:00,2019-02-15 22:47:00,3141.0,True,tp_q25
1400,T5/S10,01-04|120-360m,2019-03-06 02:05:00,2019-03-05 22:23:00,222.0,True,tp_q25
1401,T5/S10,01-04|360-1440m,2019-03-12 04:47:00,2019-03-12 03:11:00,96.0,True,tp_q25
1402,T5/S10,01-04|120-360m,2019-03-21 03:28:00,2019-03-21 01:12:00,136.0,True,tp_q25
1403,T5/S10,21-23|<=30m,2019-04-04 22:29:00,2019-04-04 22:28:00,1.0,True,tp_q25
1404,T5/S10,13-16|360-1440m,2019-04-05 16:04:00,2019-04-05 16:00:00,4.0,True,tp_q25
1405,T5/S10,01-04|>1440m,2019-04-22 01:25:00,2019-04-18 23:21:00,4444.0,True,tp_q25
1406,T5/S10,13-16|>1440m,2019-05-23 13:17:00,,,False,tp_q25
1407,T5/S10,21-23|30-120m,2019-05-31 22:40:00,,,False,tp_q25
1408,T5/S10,01-04|360-1440m,2019-06-04 04:28:00,2019-06-03 22:12:00,376.0,True,tp_q25
1409,T5/S10,09-12|120-360m,2019-06-04 10:03:00,,,False,tp_q25
1410,T5/S10,21-23|<=30m,2019-06-04 22:40:00,2019-06-04 22:33:00,7.0,True,tp_q25
1411,T5/S10,21-23|30-120m,2019-06-19 22:39:00,2019-06-19 22:19:00,20.0,True,tp_q25
1412,T5/S10,01-04|>1440m,2019-06-24 01:08:00,2019-06-24 01:05:00,3.0,True,tp_q25
1413,T5/S10,21-23|30-120m,2019-07-02 23:31:00,2019-07-02 23:18:00,13.0,True,tp_q25
1414,T5/S10,21-23|<=30m,2019-07-05 22:28:00,2019-07-05 22:27:00,1.0,True,tp_q25
1415,T5/S10,05-08|360-1440m,2019-07-08 08:12:00,2019-07-08 03:10:00,302.0,True,tp_q25
1416,T5/S10,01-04|>1440m,2019-07-15 01:05:00,,,False,tp_q25
1417,T5/S10,21-23|<=30m,2019-07-18 22:09:00,2019-07-18 22:08:00,1.0,True,tp_q25
1418,T5/S10,21-23|<=30m,2019-07-18 22:15:00,2019-07-18 22:15:00,0.0,True,tp_q25
1419,T5/S10,21-23|<=30m,2019-07-18 22:46:00,2019-07-18 22:25:00,21.0,True,tp_q25
1420,T5/S10,21-23|30-120m,2019-07-18 23:36:00,,,False,tp_q25
1421,T5/S10,01-04|30-120m,2019-07-19 01:06:00,,,False,tp_q25
1422,T5/S10,09-12|360-1440m,2019-07-30 09:38:00,,,False,tp_q25
1423,T5/S10,09-12|360-1440m,2019-07-31 09:27:00,2019-07-31 08:48:00,39.0,True,tp_q25
1424,T5/S10,21-23|<=30m,2019-08-12 22:14:00,2019-08-12 22:13:00,1.0,True,tp_q25
