s10_mode,positive_count,candidate_count,tp_q25,tp_median,tp_q75,tp_q90
01-04|120-360m,23,4653,0.28499999999996817,1.2800000000002,3.0450000000001864,4.62199999999998
01-04|30-120m,2,293,4.064999999999941,4.240000000000009,4.415000000000077,4.520000000000119
01-04|360-1440m,3,764,1.3599999999997863,2.0199999999997544,2.0549999999998363,2.0759999999998855
01-04|>1440m,11,2792,0.5149999999999864,2.0,2.2709542290655236,2.4200000000000728
05-08|360-1440m,4,2576,1.9712500000000546,3.1649999999999636,4.55665816589385,4.964642864502912
05-08|>1440m,2,1458,2.4487500000003024,2.7425000000001774,3.0362500000000523,3.2124999999999773
09-12|360-1440m,4,2035,2.3987500000000637,3.5475000000000136,3.64664982030547,3.6856194968553155
09-12|>1440m,3,1137,2.903333333333194,3.459999999999809,5.764999999999873,7.147999999999911
13-16|360-1440m,5,2132,3.1566666666667516,4.309999999999945,4.980000000000018,5.004000000000133
13-16|>1440m,2,700,2.5823402766874892,3.158013886708318,3.7336874967291465,4.079091662741644
17-20|360-1440m,4,1037,2.422641304347678,2.9058333333332484,4.523750000000007,6.5735000000000365
21-23|30-120m,12,3447,0.06500000000011141,0.8549999999999045,1.174999999999784,1.6280000000000883
21-23|<=30m,30,2432,0.8699999999998909,1.5500000000000682,2.5725000000001046,3.0799999999999508
