strategy,basket_count,closed_rate_pct,exit_within_1m_pct,exit_within_5m_pct,exit_within_30m_pct,exit_lag_median,exit_lag_q75,sim_early_exit_pct,sim_late_exit_pct,layer_exact_match_pct,sim_win_rate_pct,actual_win_rate_pct,sim_total_pnl,actual_total_pnl,median_layer_diff,variant
T1/S01,459,99.78213507625271,57.9520697167756,66.4488017429194,77.12418300653596,1.0,19.5,77.5599128540305,12.636165577342048,55.773420479302835,99.78213507625271,98.47494553376906,-1721015.514999987,4625172.100000007,0.0,move_q25
T2/S03,318,100.0,59.43396226415094,71.0691823899371,82.38993710691824,1.0,9.75,90.88050314465409,6.289308176100629,56.91823899371069,100.0,97.79874213836479,848068.6249999927,2774986.2699999916,0.0,move_q25
T2/S04,378,100.0,56.34920634920635,75.13227513227513,85.18518518518519,1.0,5.0,95.76719576719577,3.7037037037037033,58.730158730158735,100.0,99.47089947089947,925648.0899999874,2246850.279999985,0.0,move_q25
T3/S06,99,100.0,53.535353535353536,64.64646464646465,78.78787878787878,1.0,14.5,76.76767676767676,15.151515151515152,77.77777777777779,100.0,98.98989898989899,411755.25999999227,-14994461.540000025,0.0,move_q25
T4/S08,58,100.0,41.37931034482759,62.06896551724138,77.58620689655173,2.0,17.25,89.65517241379311,10.344827586206897,58.620689655172406,100.0,100.0,319371.1150000046,1014496.770000007,0.0,move_q25
T5/S09,71,100.0,61.97183098591549,69.01408450704226,77.46478873239437,1.0,16.5,66.19718309859155,21.12676056338028,61.97183098591549,100.0,100.0,529779.7300000008,1520356.2200000114,0.0,move_q25
T6/S12,166,100.0,60.24096385542169,68.67469879518072,81.32530120481928,1.0,12.0,83.13253012048193,9.036144578313253,55.42168674698795,100.0,100.0,972765.9000000011,2057978.1500000027,0.0,move_q25
T1/S01,459,99.78213507625271,42.70152505446623,56.209150326797385,72.54901960784314,3.0,46.0,50.326797385620914,35.72984749455338,54.248366013071895,99.78213507625271,98.47494553376906,-502264.9049999905,4625172.100000007,0.0,move_median
T2/S03,318,100.0,50.943396226415096,64.46540880503144,79.55974842767296,1.0,19.0,55.660377358490564,30.50314465408805,56.289308176100626,100.0,97.79874213836479,1204922.8849999825,2774986.2699999916,0.0,move_median
T2/S04,378,99.73544973544973,63.227513227513235,74.07407407407408,84.92063492063492,1.0,6.0,62.16931216931217,27.77777777777778,58.46560846560847,99.73544973544973,99.47089947089947,-1822672.0450000172,2246850.279999985,0.0,move_median
T3/S06,99,100.0,54.54545454545454,62.62626262626263,78.78787878787878,1.0,16.5,55.55555555555556,33.33333333333333,76.76767676767676,100.0,98.98989898989899,473678.6299999955,-14994461.540000025,0.0,move_median
T4/S08,58,100.0,46.55172413793103,67.24137931034483,82.75862068965517,2.0,8.0,55.172413793103445,31.03448275862069,56.896551724137936,100.0,100.0,434879.34500000364,1014496.770000007,0.0,move_median
T5/S09,71,100.0,49.29577464788733,53.52112676056338,70.4225352112676,2.0,47.0,43.66197183098591,38.028169014084504,59.154929577464785,100.0,100.0,641779.1799999991,1520356.2200000114,0.0,move_median
T6/S12,166,100.0,50.0,61.44578313253012,78.3132530120482,1.5,18.75,57.831325301204814,29.518072289156628,53.6144578313253,100.0,100.0,1317304.3199999959,2057978.1500000027,0.0,move_median
T1/S01,459,100.0,57.73420479302832,66.88453159041394,77.77777777777779,1.0,21.0,79.73856209150327,10.457516339869281,55.119825708061,100.0,98.47494553376906,1775995.0999999957,4625172.100000007,0.0,threshold
T2/S03,318,100.0,58.490566037735846,70.12578616352201,81.44654088050315,1.0,11.0,90.88050314465409,6.289308176100629,56.91823899371069,100.0,97.79874213836479,836208.1349999951,2774986.2699999916,0.0,threshold
T2/S04,378,100.0,54.761904761904766,74.33862433862434,83.86243386243386,1.0,6.0,95.76719576719577,3.7037037037037033,58.730158730158735,100.0,99.47089947089947,865009.0599999846,2246850.279999985,0.0,threshold
T3/S06,99,100.0,53.535353535353536,61.61616161616161,77.77777777777779,1.0,17.5,55.55555555555556,33.33333333333333,76.76767676767676,100.0,98.98989898989899,438799.17999999237,-14994461.540000025,0.0,threshold
T4/S08,58,100.0,50.0,68.96551724137932,82.75862068965517,1.5,7.75,56.896551724137936,27.586206896551722,56.896551724137936,100.0,100.0,414723.2400000048,1014496.770000007,0.0,threshold
T5/S09,71,100.0,45.07042253521127,69.01408450704226,77.46478873239437,2.0,17.0,85.91549295774648,14.084507042253522,61.97183098591549,100.0,100.0,540840.5099999984,1520356.2200000114,0.0,threshold
T6/S12,166,100.0,62.048192771084345,70.48192771084338,81.92771084337349,1.0,10.75,81.32530120481928,9.036144578313253,55.42168674698795,100.0,100.0,1030824.0900000025,2057978.1500000027,0.0,threshold
